{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_1', 'seed': 2022, 'lr': 0.0005, 'gpu': '1', 'ep': 500, 'lambda_': 1.0, 'epsilon': 0.2}
epoch : 63	 logprob : -0.65	 J : 1.05	 LOS : 126.2	 TPP(won) : 7700.0
epoch : 64	 logprob : -0.61	 J : 0.96	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 65	 logprob : -0.64	 J : 1.03	 LOS : 127.6	 TPP(won) : 7700.0
epoch : 66	 logprob : -0.56	 J : 0.88	 LOS : 133.4	 TPP(won) : 7700.0
epoch : 67	 logprob : -0.5	 J : 0.77	 LOS : 134.4	 TPP(won) : 7700.0
epoch : 68	 logprob : -0.52	 J : 0.83	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 69	 logprob : -0.44	 J : 0.71	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 70	 logprob : -0.44	 J : 0.71	 LOS : 129.2	 TPP(won) : 7700.0
epoch : 71	 logprob : -0.4	 J : 0.63	 LOS : 131.6	 TPP(won) : 7700.0
epoch : 72	 logprob : -0.39	 J : 0.63	 LOS : 127.0	 TPP(won) : 7700.0
epoch : 73	 logprob : -0.39	 J : 0.63	 LOS : 127.2	 TPP(won) : 7700.0
epoch : 74	 logprob : -0.46	 J : 0.72	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 75	 logprob : -0.31	 J : 0.51	 LOS : 126.2	 TPP(won) : 7700.0
epoch : 76	 logprob : -0.35	 J : 0.56	 LOS : 127.2	 TPP(won) : 7700.0
epoch : 77	 logprob : -0.42	 J : 0.68	 LOS : 127.2	 TPP(won) : 7700.0
epoch : 78	 logprob : -0.29	 J : 0.45	 LOS : 134.0	 TPP(won) : 7700.0
epoch : 79	 logprob : -0.28	 J : 0.47	 LOS : 123.0	 TPP(won) : 7700.0
epoch : 80	 logprob : -0.26	 J : 0.43	 LOS : 125.0	 TPP(won) : 7700.0
epoch : 81	 logprob : -0.29	 J : 0.46	 LOS : 130.8	 TPP(won) : 7700.0
epoch : 82	 logprob : -0.25	 J : 0.41	 LOS : 124.4	 TPP(won) : 7700.0
epoch : 83	 logprob : -0.24	 J : 0.39	 LOS : 125.6	 TPP(won) : 7700.0
epoch : 84	 logprob : -0.28	 J : 0.46	 LOS : 127.2	 TPP(won) : 7700.0
epoch : 85	 logprob : -0.27	 J : 0.44	 LOS : 124.8	 TPP(won) : 7700.0
epoch : 86	 logprob : -0.25	 J : 0.41	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 87	 logprob : -0.26	 J : 0.42	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 88	 logprob : -0.31	 J : 0.5	 LOS : 126.6	 TPP(won) : 7700.0
epoch : 89	 logprob : -0.26	 J : 0.42	 LOS : 125.2	 TPP(won) : 7700.0
epoch : 90	 logprob : -0.22	 J : 0.35	 LOS : 127.4	 TPP(won) : 7700.0
epoch : 91	 logprob : -0.19	 J : 0.31	 LOS : 128.0	 TPP(won) : 7700.0
epoch : 92	 logprob : -0.18	 J : 0.3	 LOS : 124.4	 TPP(won) : 7700.0
epoch : 93	 logprob : -0.27	 J : 0.43	 LOS : 129.6	 TPP(won) : 7700.0
epoch : 94	 logprob : -0.15	 J : 0.25	 LOS : 125.8	 TPP(won) : 7700.0
epoch : 95	 logprob : -0.15	 J : 0.24	 LOS : 132.8	 TPP(won) : 7700.0
epoch : 96	 logprob : -0.18	 J : 0.29	 LOS : 126.0	 TPP(won) : 7700.0
epoch : 97	 logprob : -0.14	 J : 0.24	 LOS : 124.6	 TPP(won) : 7700.0
epoch : 98	 logprob : -0.17	 J : 0.28	 LOS : 123.6	 TPP(won) : 7700.0
epoch : 99	 logprob : -0.19	 J : 0.31	 LOS : 127.4	 TPP(won) : 7700.0
epoch : 100	 logprob : -0.17	 J : 0.27	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 101	 logprob : -0.15	 J : 0.25	 LOS : 123.8	 TPP(won) : 7700.0
epoch : 102	 logprob : -0.14	 J : 0.22	 LOS : 134.4	 TPP(won) : 7700.0
epoch : 103	 logprob : -0.16	 J : 0.25	 LOS : 125.2	 TPP(won) : 7700.0
epoch : 104	 logprob : -0.13	 J : 0.2	 LOS : 131.6	 TPP(won) : 7700.0
epoch : 105	 logprob : -0.14	 J : 0.23	 LOS : 127.8	 TPP(won) : 7700.0
epoch : 106	 logprob : -0.16	 J : 0.24	 LOS : 132.6	 TPP(won) : 7700.0
epoch : 107	 logprob : -0.12	 J : 0.19	 LOS : 127.8	 TPP(won) : 7700.0
epoch : 108	 logprob : -0.42	 J : 0.67	 LOS : 127.6	 TPP(won) : 7700.0
epoch : 109	 logprob : -0.12	 J : 0.2	 LOS : 127.8	 TPP(won) : 7700.0
epoch : 110	 logprob : -0.12	 J : 0.19	 LOS : 131.0	 TPP(won) : 7700.0
epoch : 111	 logprob : -0.11	 J : 0.19	 LOS : 126.6	 TPP(won) : 7700.0
epoch : 112	 logprob : -0.16	 J : 0.25	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 113	 logprob : -0.36	 J : 0.58	 LOS : 128.6	 TPP(won) : 7700.0
epoch : 114	 logprob : -0.1	 J : 0.16	 LOS : 131.6	 TPP(won) : 7700.0
epoch : 115	 logprob : -0.11	 J : 0.18	 LOS : 126.6	 TPP(won) : 7700.0
epoch : 116	 logprob : -0.12	 J : 0.18	 LOS : 129.2	 TPP(won) : 7700.0
epoch : 117	 logprob : -0.1	 J : 0.16	 LOS : 127.2	 TPP(won) : 7700.0
epoch : 118	 logprob : -0.11	 J : 0.17	 LOS : 130.4	 TPP(won) : 7700.0
epoch : 119	 logprob : -0.09	 J : 0.15	 LOS : 129.6	 TPP(won) : 7700.0
epoch : 120	 logprob : -0.09	 J : 0.15	 LOS : 124.8	 TPP(won) : 7700.0
epoch : 121	 logprob : -0.11	 J : 0.17	 LOS : 130.4	 TPP(won) : 7700.0
epoch : 122	 logprob : -0.1	 J : 0.15	 LOS : 129.4	 TPP(won) : 7700.0
epoch : 123	 logprob : -0.1	 J : 0.16	 LOS : 127.0	 TPP(won) : 7700.0
epoch : 124	 logprob : -0.23	 J : 0.37	 LOS : 126.4	 TPP(won) : 7700.0
epoch : 125	 logprob : -0.08	 J : 0.13	 LOS : 125.2	 TPP(won) : 7700.0
epoch : 126	 logprob : -0.21	 J : 0.35	 LOS : 127.6	 TPP(won) : 7700.0
epoch : 127	 logprob : -0.19	 J : 0.32	 LOS : 125.0	 TPP(won) : 7700.0
epoch : 128	 logprob : -0.13	 J : 0.21	 LOS : 125.0	 TPP(won) : 7700.0
epoch : 129	 logprob : -0.09	 J : 0.14	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 130	 logprob : -0.08	 J : 0.12	 LOS : 131.8	 TPP(won) : 7700.0
epoch : 131	 logprob : -0.07	 J : 0.12	 LOS : 125.0	 TPP(won) : 7700.0
epoch : 132	 logprob : -0.11	 J : 0.18	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 133	 logprob : -0.14	 J : 0.24	 LOS : 123.4	 TPP(won) : 7700.0
epoch : 134	 logprob : -0.1	 J : 0.15	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 135	 logprob : -0.07	 J : 0.11	 LOS : 130.4	 TPP(won) : 7700.0
epoch : 136	 logprob : -0.09	 J : 0.14	 LOS : 131.8	 TPP(won) : 7700.0
epoch : 137	 logprob : -0.08	 J : 0.12	 LOS : 130.4	 TPP(won) : 7700.0
epoch : 138	 logprob : -0.07	 J : 0.12	 LOS : 130.2	 TPP(won) : 7700.0
epoch : 139	 logprob : -0.07	 J : 0.11	 LOS : 128.4	 TPP(won) : 7700.0
epoch : 140	 logprob : -0.07	 J : 0.12	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 141	 logprob : -0.1	 J : 0.16	 LOS : 126.0	 TPP(won) : 7700.0
epoch : 142	 logprob : -0.09	 J : 0.15	 LOS : 126.0	 TPP(won) : 7700.0
epoch : 143	 logprob : -0.07	 J : 0.11	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 144	 logprob : -0.09	 J : 0.14	 LOS : 127.0	 TPP(won) : 7700.0
epoch : 145	 logprob : -0.07	 J : 0.12	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 146	 logprob : -0.07	 J : 0.11	 LOS : 123.8	 TPP(won) : 7700.0
epoch : 147	 logprob : -0.07	 J : 0.11	 LOS : 130.4	 TPP(won) : 7700.0
epoch : 148	 logprob : -0.06	 J : 0.1	 LOS : 131.8	 TPP(won) : 7700.0
epoch : 149	 logprob : -0.06	 J : 0.1	 LOS : 125.6	 TPP(won) : 7700.0
epoch : 150	 logprob : -0.07	 J : 0.12	 LOS : 131.6	 TPP(won) : 7700.0
epoch : 151	 logprob : -0.06	 J : 0.09	 LOS : 128.0	 TPP(won) : 7700.0
epoch : 152	 logprob : -0.06	 J : 0.1	 LOS : 128.6	 TPP(won) : 7700.0
epoch : 153	 logprob : -0.06	 J : 0.09	 LOS : 131.2	 TPP(won) : 7700.0
epoch : 154	 logprob : -0.05	 J : 0.08	 LOS : 125.0	 TPP(won) : 7700.0
epoch : 155	 logprob : -0.06	 J : 0.09	 LOS : 124.8	 TPP(won) : 7700.0
epoch : 156	 logprob : -0.06	 J : 0.09	 LOS : 127.2	 TPP(won) : 7700.0
epoch : 157	 logprob : -0.08	 J : 0.13	 LOS : 127.4	 TPP(won) : 7700.0
epoch : 158	 logprob : -0.05	 J : 0.09	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 159	 logprob : -0.05	 J : 0.09	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 160	 logprob : -0.07	 J : 0.11	 LOS : 129.4	 TPP(won) : 7700.0
epoch : 161	 logprob : -0.05	 J : 0.08	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 162	 logprob : -0.05	 J : 0.08	 LOS : 135.4	 TPP(won) : 7700.0
epoch : 163	 logprob : -0.05	 J : 0.09	 LOS : 127.4	 TPP(won) : 7700.0
epoch : 164	 logprob : -0.05	 J : 0.08	 LOS : 121.0	 TPP(won) : 7700.0
epoch : 165	 logprob : -0.06	 J : 0.1	 LOS : 128.2	 TPP(won) : 7700.0
epoch : 166	 logprob : -0.06	 J : 0.09	 LOS : 122.6	 TPP(won) : 7700.0
epoch : 167	 logprob : -0.08	 J : 0.13	 LOS : 127.6	 TPP(won) : 7700.0
epoch : 168	 logprob : -0.05	 J : 0.08	 LOS : 129.8	 TPP(won) : 7700.0
epoch : 169	 logprob : -0.06	 J : 0.1	 LOS : 126.4	 TPP(won) : 7700.0
epoch : 170	 logprob : -0.06	 J : 0.1	 LOS : 126.8	 TPP(won) : 7700.0
epoch : 171	 logprob : -0.05	 J : 0.09	 LOS : 126.0	 TPP(won) : 7700.0
epoch : 172	 logprob : -0.04	 J : 0.07	 LOS : 134.0	 TPP(won) : 7700.0
epoch : 173	 logprob : -0.05	 J : 0.09	 LOS : 128.4	 TPP(won) : 7700.0
epoch : 174	 logprob : -0.05	 J : 0.07	 LOS : 131.2	 TPP(won) : 7700.0
epoch : 175	 logprob : -0.05	 J : 0.08	 LOS : 130.0	 TPP(won) : 7700.0
epoch : 176	 logprob : -0.05	 J : 0.07	 LOS : 126.4	 TPP(won) : 7700.0
epoch : 177	 logprob : -0.05	 J : 0.08	 LOS : 133.0	 TPP(won) : 7700.0
epoch : 178	 logprob : -0.1	 J : 0.16	 LOS : 131.6	 TPP(won) : 7700.0
epoch : 179	 logprob : -0.04	 J : 0.07	 LOS : 125.8	 TPP(won) : 7700.0
epoch : 180	 logprob : -0.07	 J : 0.12	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 181	 logprob : -0.04	 J : 0.07	 LOS : 126.0	 TPP(won) : 7700.0
epoch : 182	 logprob : -0.04	 J : 0.07	 LOS : 128.6	 TPP(won) : 7700.0
epoch : 183	 logprob : -0.06	 J : 0.1	 LOS : 126.6	 TPP(won) : 7700.0
epoch : 184	 logprob : -0.04	 J : 0.06	 LOS : 129.4	 TPP(won) : 7700.0
epoch : 185	 logprob : -0.04	 J : 0.06	 LOS : 125.4	 TPP(won) : 7700.0
epoch : 186	 logprob : -0.04	 J : 0.06	 LOS : 126.6	 TPP(won) : 7700.0
epoch : 187	 logprob : -0.04	 J : 0.07	 LOS : 128.2	 TPP(won) : 7700.0
epoch : 188	 logprob : -0.04	 J : 0.06	 LOS : 128.8	 TPP(won) : 7700.0
epoch : 189	 logprob : -0.04	 J : 0.06	 LOS : 133.6	 TPP(won) : 7700.0
epoch : 190	 logprob : -0.25	 J : 0.4	 LOS : 126.6	 TPP(won) : 7700.0
epoch : 191	 logprob : -0.03	 J : 0.05	 LOS : 130.8	 TPP(won) : 7700.0
epoch : 192	 logprob : -0.04	 J : 0.07	 LOS : 127.4	 TPP(won) : 7700.0
epoch : 193	 logprob : -0.04	 J : 0.07	 LOS : 125.0	 TPP(won) : 7700.0
epoch : 194	 logprob : -0.04	 J : 0.06	 LOS : 128.0	 TPP(won) : 7700.0
epoch : 195	 logprob : -0.25	 J : 0.41	 LOS : 122.8	 TPP(won) : 7700.0
epoch : 196	 logprob : -0.04	 J : 0.06	 LOS : 127.8	 TPP(won) : 7700.0
epoch : 197	 logprob : -0.06	 J : 0.09	 LOS : 130.2	 TPP(won) : 7700.0
epoch : 198	 logprob : -0.03	 J : 0.05	 LOS : 128.2	 TPP(won) : 7700.0
epoch : 199	 logprob : -0.03	 J : 0.05	 LOS : 129.6	 TPP(won) : 7700.0
epoch : 200	 logprob : -0.03	 J : 0.05	 LOS : 127.8	 TPP(won) : 7700.0
epoch : 201	 logprob : -0.03	 J : 0.05	 LOS : 127.8	 TPP(won) : 7700.0
epoch : 202	 logprob : -0.05	 J : 0.07	 LOS : 128.8	 TPP(won) : 7700.0
