PRODU_CODE,PRODU_NAME,PRODU_SHORT_NAME,LIG_CODE,LIG_NAME,MID_CODE,MID_NAME,SML_NAME,SML_CODE
4902430656962,피)위스퍼피부애울날오버14p,피)위스퍼울날오버,23,제지류,2303,위생용품,생리대,230302
8809813100257,"덮밥(다보,미소미소,매콤가리비치즈,시래기표고밥,241g*30,냉동)개",미소)매콤가리비치즈시래기표고덮밥,10,냉동식품,1002,간편조리,냉동밥,100203
8809009749710,"건새우(해조은,중국,두절새우,500g)개",두절새우,07,수산건식,0705,새우,건새우,070502
8809436940063,"일회용기(대림,트레이,224*162*30,18호,100p)개",대)트레이18호,24,주방잡화,2403,일회용품,일회용식기,240308
8801045299402,"간편식(오뚜기,3분,옛날,육개장500g*18)개",오뚜기)육계장500g,18,조리가공,1802,대용식,즉석국,180203
8809031258198,금성투명테이프,금성투명테이프,25,생활잡화,2504,DIY용품,테이프,250406
2100000649396,가지(8kg/특/박스/국산),가지(8kg/특/박스/국산),02,야채,0207,과채류,가지,020703
205016,정육.통닭(중),정육.통닭(중),03,축산,0303,계육,일반닭,030301
8801073142787,"비빔라면(삼양,불닭볶음면,라이트,110g*5입)개",라이트불닭볶음면5입,19,면,1905,라면,비빔류,190501
8809008810848,"옛날과자(서광,꾸덕,마카롱,브라운,44g*24)개",서광)꾸덕마카롱브라운,20,과자,2004,옛날과자,옛날과자,200401
8809352680005,"주방세제(스마트애플,파낙스-300,식기세척기세제,18.75L)개",스마트애플식기세척기세제18.75L,22,세제,2203,주방세제,대용량주방세제,220301
8809457410866,"계란(그린,한알의행복,반숙란,2구)개",한알의행복)반숙란2구,04,계란,0405,가공란,반숙란,040501
8809146758217,"드레싱(사자표,유자,드레싱,2kg*5,냉장)개",사자표)유자드레싱,09,일배,0910,소스류,드레싱,091001
8809460540017,"김말이튀김(중원,대하,2Kg*4,냉동)개",대하)김말이튀김,10,냉동식품,1002,간편조리,튀김류,100206
8809180651048,"냉동과일(랜시,패션프루트,1Kg*10,냉동,베트남)개",랜시)패션프루트,10,냉동식품,1004,농산냉동,냉동과일,100401
8802140700039,"누룽지(바른들식품,우리쌀,엄마손맛,3kg*4)개",바른들)누룽지3kg,18,조리가공,1802,대용식,즉석밥,180204
8809160220042,"첨가물(청우,캡사이신,매운맛,분말,400g*12)개",청우캡사이신매운맛분,18,조리가공,1801,분말가공,기타첨가물,180101
8801122001386,"유산균(동원,덴마크드링킹사과,300ml)개",동)덴마크드링킹사과310,12,유제품,1204,유음료,유산균,120403
8809559345820,"샴푸(태평양,미쟝센,실키,모이스처,780ml)개",태)미쟝센실키모이스처샴푸,21,H&BC,2102,헤어케어,샴푸,210202
6917554543072,서)포테이토칩콜라향,서)포테이토칩콜라향,20,과자,2003,수입과자,수입과자,200301
4047024247437,보쉬와이퍼14(350mm),보쉬와이퍼14(350mm),25,생활잡화,2507,자동차용품,자동차용품,250701
2100000630257,"나룻배곶감(box,국산)","나룻배곶감(box,국산)",01,청과,0109,감,곶감,010904
8809311131630,"잡화소품(에이엘에스,휴대용비닐아이스팩,중,20p)개",휴대용비닐아이스팩,25,생활잡화,2508,레저용품,돗자리,250802
8809546050515,"음료분말(지노,아이스티,복숭아에이드,700g*16)개",지노)복숭아홍차20T,14,커피/차류,1406,음료.차류,음료분말,140601
