{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_05', 'seed': 1156, 'lr': 0.0005, 'gpu': '3', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.2}
epoch : 63	 logprob : -157.86	 J : 10.35	 LOS : 417.4	 TPP(won) : 217708.01
epoch : 64	 logprob : -135.24	 J : -13.88	 LOS : 364.6	 TPP(won) : 131725.17
epoch : 65	 logprob : -154.29	 J : 9.78	 LOS : 405.2	 TPP(won) : 216899.5
epoch : 66	 logprob : -147.56	 J : 8.75	 LOS : 372.8	 TPP(won) : 196018.29
epoch : 67	 logprob : -136.22	 J : 7.0	 LOS : 340.0	 TPP(won) : 174031.41
epoch : 68	 logprob : -126.12	 J : -5.95	 LOS : 370.2	 TPP(won) : 148843.8
epoch : 69	 logprob : -130.61	 J : -3.19	 LOS : 382.4	 TPP(won) : 168975.07
epoch : 70	 logprob : -134.82	 J : -1.16	 LOS : 381.4	 TPP(won) : 172832.59
epoch : 71	 logprob : -141.81	 J : 2.37	 LOS : 390.6	 TPP(won) : 186367.52
epoch : 72	 logprob : -126.19	 J : 0.64	 LOS : 344.4	 TPP(won) : 154123.08
epoch : 73	 logprob : -134.56	 J : 4.88	 LOS : 365.6	 TPP(won) : 184216.13
epoch : 74	 logprob : -125.73	 J : -2.69	 LOS : 362.6	 TPP(won) : 154818.67
epoch : 75	 logprob : -127.08	 J : 1.66	 LOS : 364.6	 TPP(won) : 172893.63
epoch : 76	 logprob : -136.2	 J : 12.95	 LOS : 348.4	 TPP(won) : 197472.4
epoch : 77	 logprob : -127.86	 J : 7.2	 LOS : 355.8	 TPP(won) : 179961.09
epoch : 78	 logprob : -134.82	 J : 6.68	 LOS : 366.2	 TPP(won) : 190207.56
epoch : 79	 logprob : -116.93	 J : 0.62	 LOS : 321.0	 TPP(won) : 141977.55
epoch : 80	 logprob : -111.97	 J : -4.62	 LOS : 331.0	 TPP(won) : 134621.74
epoch : 81	 logprob : -122.27	 J : 2.68	 LOS : 338.4	 TPP(won) : 162391.54
epoch : 82	 logprob : -110.96	 J : -13.4	 LOS : 337.6	 TPP(won) : 119818.24
epoch : 83	 logprob : -133.17	 J : 16.71	 LOS : 338.4	 TPP(won) : 203883.53
epoch : 84	 logprob : -105.68	 J : -11.2	 LOS : 306.2	 TPP(won) : 106452.39
epoch : 85	 logprob : -120.13	 J : 2.62	 LOS : 346.6	 TPP(won) : 169832.78
epoch : 86	 logprob : -120.8	 J : 7.17	 LOS : 346.4	 TPP(won) : 181194.82
epoch : 87	 logprob : -117.12	 J : -15.11	 LOS : 354.4	 TPP(won) : 122543.36
epoch : 88	 logprob : -114.74	 J : -5.66	 LOS : 328.6	 TPP(won) : 134049.43
epoch : 89	 logprob : -129.1	 J : -0.51	 LOS : 387.2	 TPP(won) : 181594.07
epoch : 90	 logprob : -110.19	 J : 1.76	 LOS : 322.2	 TPP(won) : 143838.2
epoch : 91	 logprob : -98.65	 J : -4.61	 LOS : 288.0	 TPP(won) : 116561.42
epoch : 92	 logprob : -126.13	 J : 5.13	 LOS : 348.8	 TPP(won) : 170457.44
epoch : 93	 logprob : -123.66	 J : 2.11	 LOS : 377.8	 TPP(won) : 184428.35
epoch : 94	 logprob : -114.64	 J : 3.01	 LOS : 327.4	 TPP(won) : 159999.23
epoch : 95	 logprob : -120.91	 J : -1.71	 LOS : 357.4	 TPP(won) : 161129.82
epoch : 96	 logprob : -102.74	 J : -5.71	 LOS : 294.6	 TPP(won) : 115633.12
epoch : 97	 logprob : -124.61	 J : 1.11	 LOS : 369.4	 TPP(won) : 175429.05
epoch : 98	 logprob : -118.9	 J : 4.44	 LOS : 332.8	 TPP(won) : 164478.3
epoch : 99	 logprob : -117.26	 J : -8.31	 LOS : 382.2	 TPP(won) : 152955.58
epoch : 100	 logprob : -106.69	 J : -4.55	 LOS : 323.8	 TPP(won) : 135742.72
epoch : 101	 logprob : -117.87	 J : 7.01	 LOS : 328.8	 TPP(won) : 172082.34
epoch : 102	 logprob : -122.92	 J : 11.99	 LOS : 319.4	 TPP(won) : 180305.82
epoch : 103	 logprob : -124.76	 J : 0.05	 LOS : 347.0	 TPP(won) : 162777.99
epoch : 104	 logprob : -114.81	 J : 4.37	 LOS : 336.6	 TPP(won) : 164901.38
epoch : 105	 logprob : -117.4	 J : 9.27	 LOS : 325.2	 TPP(won) : 173445.8
epoch : 106	 logprob : -113.43	 J : -4.71	 LOS : 329.2	 TPP(won) : 133646.89
