{'gpu': '1', 'ep': 2000, 'bth': 1024, 'lr': 1e-05, 'save': 'example_test', 'emdim': 32}
epoch : 410, 	 loss : 27.1734516620636 	 accuracy : 94.7265625% 
epoch : 415, 	 loss : 27.172489255666733 	 accuracy : 94.7265625% 
epoch : 420, 	 loss : 27.07629084587097 	 accuracy : 94.8053533% 
epoch : 425, 	 loss : 27.094671487808228 	 accuracy : 94.8253285% 
epoch : 430, 	 loss : 27.099198400974274 	 accuracy : 94.8486328% 
epoch : 435, 	 loss : 26.926513493061066 	 accuracy : 94.9851296% 
epoch : 440, 	 loss : 26.94220569729805 	 accuracy : 94.9607156% 
epoch : 445, 	 loss : 26.965997368097305 	 accuracy : 95.0295188% 
epoch : 450, 	 loss : 26.880299031734467 	 accuracy : 95.0250799% 
epoch : 455, 	 loss : 26.84908428788185 	 accuracy : 95.1194070% 
epoch : 460, 	 loss : 26.81991019845009 	 accuracy : 95.1227362% 
epoch : 465, 	 loss : 26.819210678339005 	 accuracy : 95.1593572% 
epoch : 470, 	 loss : 26.763305813074112 	 accuracy : 95.1349432% 
epoch : 475, 	 loss : 26.58922505378723 	 accuracy : 95.2714400% 
epoch : 480, 	 loss : 26.636507868766785 	 accuracy : 95.2814276% 
epoch : 485, 	 loss : 26.69703233242035 	 accuracy : 95.3247070% 
epoch : 490, 	 loss : 26.532251968979836 	 accuracy : 95.3224876% 
epoch : 495, 	 loss : 26.59301546216011 	 accuracy : 95.4134854% 
epoch : 500, 	 loss : 26.520129829645157 	 accuracy : 95.3846325% 
epoch : 505, 	 loss : 26.540012151002884 	 accuracy : 95.4068271% 
epoch : 510, 	 loss : 26.486433506011963 	 accuracy : 95.4123757% 
epoch : 515, 	 loss : 26.430855095386505 	 accuracy : 95.4878374% 
epoch : 520, 	 loss : 26.424789756536484 	 accuracy : 95.5022638% 
epoch : 525, 	 loss : 26.4405235350132 	 accuracy : 95.5411044% 
epoch : 530, 	 loss : 26.363673895597458 	 accuracy : 95.5644087% 
epoch : 535, 	 loss : 26.39139810204506 	 accuracy : 95.5843839% 
epoch : 540, 	 loss : 26.298095732927322 	 accuracy : 95.5943714% 
epoch : 545, 	 loss : 26.272710114717484 	 accuracy : 95.7108931% 
epoch : 550, 	 loss : 26.24167975783348 	 accuracy : 95.6321023% 
epoch : 555, 	 loss : 26.186764657497406 	 accuracy : 95.7685991% 
epoch : 560, 	 loss : 26.246699303388596 	 accuracy : 95.7353072% 
epoch : 565, 	 loss : 26.25991576910019 	 accuracy : 95.7719283% 
epoch : 570, 	 loss : 26.203964948654175 	 accuracy : 95.7341974% 
epoch : 575, 	 loss : 26.079099386930466 	 accuracy : 95.8718040% 
epoch : 580, 	 loss : 26.189486175775528 	 accuracy : 95.8152077% 
epoch : 585, 	 loss : 26.142940670251846 	 accuracy : 95.8640359% 
epoch : 590, 	 loss : 26.06728208065033 	 accuracy : 95.8507191% 
epoch : 595, 	 loss : 26.081519573926926 	 accuracy : 95.9106445% 
epoch : 600, 	 loss : 26.019501298666 	 accuracy : 95.9383878% 
epoch : 605, 	 loss : 26.02777135372162 	 accuracy : 95.9139737% 
epoch : 610, 	 loss : 25.998047798871994 	 accuracy : 95.9705700% 
epoch : 615, 	 loss : 25.94892919063568 	 accuracy : 96.0160689% 
epoch : 620, 	 loss : 25.952033787965775 	 accuracy : 96.0071911% 
epoch : 625, 	 loss : 25.95282918214798 	 accuracy : 96.0704457% 
epoch : 630, 	 loss : 25.944253534078598 	 accuracy : 96.1015181% 
epoch : 635, 	 loss : 25.81399440765381 	 accuracy : 96.1148349% 
epoch : 640, 	 loss : 25.85549646615982 	 accuracy : 96.1370295% 
epoch : 645, 	 loss : 25.844794780015945 	 accuracy : 96.1459073% 
epoch : 650, 	 loss : 25.827084094285965 	 accuracy : 96.1692116% 
epoch : 655, 	 loss : 25.82080388069153 	 accuracy : 96.1625533% 
epoch : 660, 	 loss : 25.779470920562744 	 accuracy : 96.1936257% 
epoch : 665, 	 loss : 25.80302608013153 	 accuracy : 96.1925160% 
epoch : 670, 	 loss : 25.721056789159775 	 accuracy : 96.2435636% 
epoch : 675, 	 loss : 25.676504403352737 	 accuracy : 96.2957209% 
epoch : 680, 	 loss : 25.72688740491867 	 accuracy : 96.2923917% 
epoch : 685, 	 loss : 25.738710582256317 	 accuracy : 96.2735263% 
epoch : 690, 	 loss : 25.64109718799591 	 accuracy : 96.3256836% 
epoch : 695, 	 loss : 25.710313081741333 	 accuracy : 96.3090376% 
epoch : 700, 	 loss : 25.580924451351166 	 accuracy : 96.3423295% 
epoch : 705, 	 loss : 25.628642559051514 	 accuracy : 96.3900479% 
epoch : 710, 	 loss : 25.65432035923004 	 accuracy : 96.3556463% 
epoch : 715, 	 loss : 25.61285489797592 	 accuracy : 96.4410955% 
epoch : 720, 	 loss : 25.560412645339966 	 accuracy : 96.3967063% 
epoch : 725, 	 loss : 25.525609612464905 	 accuracy : 96.4211204% 
epoch : 730, 	 loss : 25.463518649339676 	 accuracy : 96.4610707% 
epoch : 735, 	 loss : 25.521581828594208 	 accuracy : 96.5054599% 
epoch : 740, 	 loss : 25.510628402233124 	 accuracy : 96.4976918% 
epoch : 745, 	 loss : 25.4868765771389 	 accuracy : 96.5487393% 
epoch : 750, 	 loss : 25.47504699230194 	 accuracy : 96.5309837% 
epoch : 755, 	 loss : 25.465162247419357 	 accuracy : 96.4999112% 
epoch : 760, 	 loss : 25.47465544939041 	 accuracy : 96.5664950% 
epoch : 765, 	 loss : 25.495333701372147 	 accuracy : 96.5498491% 
epoch : 770, 	 loss : 25.412808656692505 	 accuracy : 96.6219815% 
epoch : 775, 	 loss : 25.403246223926544 	 accuracy : 96.5609464% 
epoch : 780, 	 loss : 25.39834427833557 	 accuracy : 96.6275302% 
epoch : 785, 	 loss : 25.412454903125763 	 accuracy : 96.6441761% 
epoch : 790, 	 loss : 25.354676634073257 	 accuracy : 96.6630415% 
epoch : 795, 	 loss : 25.420792907476425 	 accuracy : 96.6952237% 
epoch : 800, 	 loss : 25.295994818210602 	 accuracy : 96.6963335% 
epoch : 805, 	 loss : 25.34742546081543 	 accuracy : 96.6830167% 
epoch : 810, 	 loss : 25.282089173793793 	 accuracy : 96.6819070% 
epoch : 815, 	 loss : 25.32445725798607 	 accuracy : 96.7318448% 
epoch : 820, 	 loss : 25.27353012561798 	 accuracy : 96.7529297% 
epoch : 825, 	 loss : 25.329216808080673 	 accuracy : 96.7163086% 
epoch : 830, 	 loss : 25.27829611301422 	 accuracy : 96.7118697% 
epoch : 835, 	 loss : 25.285127729177475 	 accuracy : 96.7873313% 
epoch : 840, 	 loss : 25.233626395463943 	 accuracy : 96.7828924% 
epoch : 845, 	 loss : 25.216500520706177 	 accuracy : 96.7895508% 
epoch : 850, 	 loss : 25.229862719774246 	 accuracy : 96.8017578% 
epoch : 855, 	 loss : 25.20367792248726 	 accuracy : 96.8261719% 
epoch : 860, 	 loss : 25.227963507175446 	 accuracy : 96.8383789% 
epoch : 865, 	 loss : 25.183681547641754 	 accuracy : 96.8694513% 
epoch : 870, 	 loss : 25.148818135261536 	 accuracy : 96.8439276% 
epoch : 875, 	 loss : 25.187384486198425 	 accuracy : 96.8472567% 
epoch : 880, 	 loss : 25.186280757188797 	 accuracy : 96.8616832% 
epoch : 885, 	 loss : 25.105987563729286 	 accuracy : 96.8627930% 
epoch : 890, 	 loss : 25.083419501781464 	 accuracy : 96.9282670% 
epoch : 895, 	 loss : 25.190381586551666 	 accuracy : 96.8605735% 
epoch : 900, 	 loss : 25.10787069797516 	 accuracy : 96.8883168% 
epoch : 905, 	 loss : 25.085064440965652 	 accuracy : 96.9327060% 
epoch : 910, 	 loss : 25.13135427236557 	 accuracy : 96.9671076% 
epoch : 915, 	 loss : 25.073912292718887 	 accuracy : 96.9582298% 
epoch : 920, 	 loss : 25.04714223742485 	 accuracy : 97.0148260% 
epoch : 925, 	 loss : 25.05296105146408 	 accuracy : 96.9926314% 
epoch : 930, 	 loss : 25.04206547141075 	 accuracy : 96.9648881% 
epoch : 935, 	 loss : 25.04845017194748 	 accuracy : 96.9848633% 
epoch : 940, 	 loss : 25.080464094877243 	 accuracy : 97.0325817% 
epoch : 945, 	 loss : 25.08615481853485 	 accuracy : 97.0092773% 
epoch : 950, 	 loss : 25.025365889072418 	 accuracy : 97.0092773% 
epoch : 955, 	 loss : 24.953515246510506 	 accuracy : 97.0048384% 
epoch : 960, 	 loss : 24.911595553159714 	 accuracy : 97.0891779% 
epoch : 965, 	 loss : 25.032501488924026 	 accuracy : 97.0170455% 
epoch : 970, 	 loss : 24.95840358734131 	 accuracy : 97.0736417% 
epoch : 975, 	 loss : 24.972944051027298 	 accuracy : 97.0769709% 
epoch : 980, 	 loss : 24.92873327434063 	 accuracy : 97.0925071% 
epoch : 985, 	 loss : 24.91348308324814 	 accuracy : 97.1169212% 
epoch : 990, 	 loss : 24.897038996219635 	 accuracy : 97.1124822% 
epoch : 995, 	 loss : 24.926822423934937 	 accuracy : 97.1069336% 
epoch : 1000, 	 loss : 24.89959540963173 	 accuracy : 97.1602006% 
epoch : 1005, 	 loss : 24.879019111394882 	 accuracy : 97.1679688% 
epoch : 1010, 	 loss : 24.899042516946793 	 accuracy : 97.1257990% 
epoch : 1015, 	 loss : 24.822719633579254 	 accuracy : 97.1668590% 
epoch : 1020, 	 loss : 24.85737380385399 	 accuracy : 97.1302379% 
epoch : 1025, 	 loss : 24.83349308371544 	 accuracy : 97.1923828% 
epoch : 1030, 	 loss : 24.885731279850006 	 accuracy : 97.1613104% 
epoch : 1035, 	 loss : 24.82412764430046 	 accuracy : 97.1957120% 
epoch : 1040, 	 loss : 24.80235217511654 	 accuracy : 97.1912731% 
epoch : 1045, 	 loss : 24.815618097782135 	 accuracy : 97.2212358% 
epoch : 1050, 	 loss : 24.88199558854103 	 accuracy : 97.1513228% 
epoch : 1055, 	 loss : 24.89712855219841 	 accuracy : 97.2167969% 
epoch : 1060, 	 loss : 24.828264623880386 	 accuracy : 97.1835050% 
epoch : 1065, 	 loss : 24.833833515644073 	 accuracy : 97.2278942% 
epoch : 1070, 	 loss : 24.805632919073105 	 accuracy : 97.2489790% 
epoch : 1075, 	 loss : 24.80021846294403 	 accuracy : 97.2356623% 
epoch : 1080, 	 loss : 24.79053384065628 	 accuracy : 97.2678445% 
epoch : 1085, 	 loss : 24.757128477096558 	 accuracy : 97.3077947% 
epoch : 1090, 	 loss : 24.794650107622147 	 accuracy : 97.2756126% 
epoch : 1095, 	 loss : 24.768193170428276 	 accuracy : 97.2589666% 
epoch : 1100, 	 loss : 24.742629900574684 	 accuracy : 97.3499645% 
epoch : 1105, 	 loss : 24.68688267469406 	 accuracy : 97.3488548% 
epoch : 1110, 	 loss : 24.736264258623123 	 accuracy : 97.2800515% 
epoch : 1115, 	 loss : 24.700362235307693 	 accuracy : 97.3344283% 
epoch : 1120, 	 loss : 24.71426972746849 	 accuracy : 97.3299893% 
epoch : 1125, 	 loss : 24.74509024620056 	 accuracy : 97.3089045% 
epoch : 1130, 	 loss : 24.671620801091194 	 accuracy : 97.3521839% 
epoch : 1135, 	 loss : 24.71616794168949 	 accuracy : 97.3610618% 
epoch : 1140, 	 loss : 24.638653501868248 	 accuracy : 97.3433061% 
epoch : 1145, 	 loss : 24.738341569900513 	 accuracy : 97.3910245% 
epoch : 1150, 	 loss : 24.682894840836525 	 accuracy : 97.3255504% 
epoch : 1155, 	 loss : 24.66185411810875 	 accuracy : 97.3743786% 
epoch : 1160, 	 loss : 24.66675305366516 	 accuracy : 97.4021218% 
epoch : 1165, 	 loss : 24.638648092746735 	 accuracy : 97.3888050% 
epoch : 1170, 	 loss : 24.632881194353104 	 accuracy : 97.3876953% 
epoch : 1175, 	 loss : 24.71130582690239 	 accuracy : 97.3976829% 
epoch : 1180, 	 loss : 24.694212406873703 	 accuracy : 97.4076705% 
epoch : 1185, 	 loss : 24.619897603988647 	 accuracy : 97.4487305% 
epoch : 1190, 	 loss : 24.606333687901497 	 accuracy : 97.4043413% 
epoch : 1195, 	 loss : 24.654870733618736 	 accuracy : 97.4065607% 
epoch : 1200, 	 loss : 24.611757397651672 	 accuracy : 97.4132191% 
epoch : 1205, 	 loss : 24.659550458192825 	 accuracy : 97.4098899% 
epoch : 1210, 	 loss : 24.626686066389084 	 accuracy : 97.4531694% 
epoch : 1215, 	 loss : 24.57698228955269 	 accuracy : 97.4531694% 
epoch : 1220, 	 loss : 24.558966353535652 	 accuracy : 97.4542791% 
epoch : 1225, 	 loss : 24.619777590036392 	 accuracy : 97.4442915% 
epoch : 1230, 	 loss : 24.569089099764824 	 accuracy : 97.4753640% 
epoch : 1235, 	 loss : 24.526622340083122 	 accuracy : 97.4975586% 
epoch : 1240, 	 loss : 24.53068906068802 	 accuracy : 97.4942294% 
epoch : 1245, 	 loss : 24.55266386270523 	 accuracy : 97.4920099% 
epoch : 1250, 	 loss : 24.53910920023918 	 accuracy : 97.4875710% 
epoch : 1255, 	 loss : 24.579358011484146 	 accuracy : 97.5008878% 
epoch : 1260, 	 loss : 24.519666984677315 	 accuracy : 97.5208629% 
epoch : 1265, 	 loss : 24.553811460733414 	 accuracy : 97.4798029% 
epoch : 1270, 	 loss : 24.528343319892883 	 accuracy : 97.5352894% 
epoch : 1275, 	 loss : 24.53871324658394 	 accuracy : 97.5286310% 
epoch : 1280, 	 loss : 24.54101851582527 	 accuracy : 97.5219727% 
epoch : 1285, 	 loss : 24.495971649885178 	 accuracy : 97.5641424% 
epoch : 1290, 	 loss : 24.579517036676407 	 accuracy : 97.5452770% 
epoch : 1295, 	 loss : 24.597355663776398 	 accuracy : 97.5264116% 
epoch : 1300, 	 loss : 24.50352355837822 	 accuracy : 97.5630327% 
epoch : 1305, 	 loss : 24.4415862262249 	 accuracy : 97.5852273% 
epoch : 1310, 	 loss : 24.503832012414932 	 accuracy : 97.6007635% 
epoch : 1315, 	 loss : 24.51786071062088 	 accuracy : 97.5730202% 
epoch : 1320, 	 loss : 24.437553226947784 	 accuracy : 97.6118608% 
epoch : 1325, 	 loss : 24.433150231838226 	 accuracy : 97.5863370% 
epoch : 1330, 	 loss : 24.524719804525375 	 accuracy : 97.5796786% 
epoch : 1335, 	 loss : 24.491973400115967 	 accuracy : 97.5929954% 
epoch : 1340, 	 loss : 24.541920721530914 	 accuracy : 97.5841175% 
epoch : 1345, 	 loss : 24.472925126552582 	 accuracy : 97.5963246% 
epoch : 1350, 	 loss : 24.47763240337372 	 accuracy : 97.6085316% 
epoch : 1355, 	 loss : 24.450190380215645 	 accuracy : 97.6007635% 
epoch : 1360, 	 loss : 24.480474680662155 	 accuracy : 97.6307262% 
epoch : 1365, 	 loss : 24.40009644627571 	 accuracy : 97.6462624% 
epoch : 1370, 	 loss : 24.452357664704323 	 accuracy : 97.6096413% 
epoch : 1375, 	 loss : 24.48121640086174 	 accuracy : 97.6296165% 
epoch : 1380, 	 loss : 24.542440593242645 	 accuracy : 97.6129705% 
epoch : 1385, 	 loss : 24.45211099088192 	 accuracy : 97.6229581% 
epoch : 1390, 	 loss : 24.428433060646057 	 accuracy : 97.6296165% 
epoch : 1395, 	 loss : 24.404253870248795 	 accuracy : 97.6573597% 
epoch : 1400, 	 loss : 24.41500735282898 	 accuracy : 97.6651278% 
epoch : 1405, 	 loss : 24.39384314417839 	 accuracy : 97.6706765% 
epoch : 1410, 	 loss : 24.45719900727272 	 accuracy : 97.6529208% 
epoch : 1415, 	 loss : 24.425055146217346 	 accuracy : 97.6995295% 
epoch : 1420, 	 loss : 24.42263925075531 	 accuracy : 97.6540305% 
epoch : 1425, 	 loss : 24.44069430232048 	 accuracy : 97.6862127% 
epoch : 1430, 	 loss : 24.44665089249611 	 accuracy : 97.6795543% 
epoch : 1435, 	 loss : 24.39839059114456 	 accuracy : 97.7039684% 
epoch : 1440, 	 loss : 24.41811954975128 	 accuracy : 97.7039684% 
epoch : 1445, 	 loss : 24.395545572042465 	 accuracy : 97.6828835% 
epoch : 1450, 	 loss : 24.411926835775375 	 accuracy : 97.6717862% 
epoch : 1455, 	 loss : 24.399898290634155 	 accuracy : 97.6851030% 
epoch : 1460, 	 loss : 24.384550660848618 	 accuracy : 97.7139560% 
epoch : 1465, 	 loss : 24.34975266456604 	 accuracy : 97.7039684% 
epoch : 1470, 	 loss : 24.38361084461212 	 accuracy : 97.7372603% 
epoch : 1475, 	 loss : 24.370818346738815 	 accuracy : 97.7328214% 
epoch : 1480, 	 loss : 24.390236109495163 	 accuracy : 97.7106268% 
epoch : 1485, 	 loss : 24.34620913863182 	 accuracy : 97.7239435% 
epoch : 1490, 	 loss : 24.319960922002792 	 accuracy : 97.7394798% 
epoch : 1495, 	 loss : 24.381625205278397 	 accuracy : 97.7206143% 
epoch : 1500, 	 loss : 24.354979321360588 	 accuracy : 97.7217241% 
epoch : 1505, 	 loss : 24.350482940673828 	 accuracy : 97.7605646% 
epoch : 1510, 	 loss : 24.335712492465973 	 accuracy : 97.7494673% 
epoch : 1515, 	 loss : 24.330971270799637 	 accuracy : 97.7816495% 
epoch : 1520, 	 loss : 24.388855129480362 	 accuracy : 97.7416992% 
epoch : 1525, 	 loss : 24.308620750904083 	 accuracy : 97.7816495% 
epoch : 1530, 	 loss : 24.36487516760826 	 accuracy : 97.7461381% 
epoch : 1535, 	 loss : 24.306498765945435 	 accuracy : 97.7605646% 
epoch : 1540, 	 loss : 24.310559064149857 	 accuracy : 97.7982955% 
epoch : 1545, 	 loss : 24.378433406352997 	 accuracy : 97.7561257% 
epoch : 1550, 	 loss : 24.29846367239952 	 accuracy : 97.7794300% 
epoch : 1555, 	 loss : 24.334279134869576 	 accuracy : 97.8260387% 
epoch : 1560, 	 loss : 24.342892199754715 	 accuracy : 97.7605646% 
epoch : 1565, 	 loss : 24.350538074970245 	 accuracy : 97.7982955% 
epoch : 1570, 	 loss : 24.33614632487297 	 accuracy : 97.7838690% 
epoch : 1575, 	 loss : 24.282809734344482 	 accuracy : 97.7894176% 
epoch : 1580, 	 loss : 24.355008751153946 	 accuracy : 97.8193803% 
epoch : 1585, 	 loss : 24.23285463452339 	 accuracy : 97.7938565% 
epoch : 1590, 	 loss : 24.32243148982525 	 accuracy : 97.8204901% 
epoch : 1595, 	 loss : 24.323348984122276 	 accuracy : 97.8127219% 
epoch : 1600, 	 loss : 24.2796513736248 	 accuracy : 97.8149414% 
epoch : 1605, 	 loss : 24.317616492509842 	 accuracy : 97.8482333% 
epoch : 1610, 	 loss : 24.319976195693016 	 accuracy : 97.8149414% 
epoch : 1615, 	 loss : 24.28949700295925 	 accuracy : 97.8326971% 
epoch : 1620, 	 loss : 24.23181040585041 	 accuracy : 97.8604403% 
epoch : 1625, 	 loss : 24.28991039097309 	 accuracy : 97.8315874% 
epoch : 1630, 	 loss : 24.26963099837303 	 accuracy : 97.8626598% 
epoch : 1635, 	 loss : 24.288678348064423 	 accuracy : 97.8293679% 
epoch : 1640, 	 loss : 24.239475399255753 	 accuracy : 97.8682085% 
epoch : 1645, 	 loss : 24.246461629867554 	 accuracy : 97.8582209% 
epoch : 1650, 	 loss : 24.256212830543518 	 accuracy : 97.8482333% 
epoch : 1655, 	 loss : 24.210496589541435 	 accuracy : 97.8526722% 
epoch : 1660, 	 loss : 24.270820021629333 	 accuracy : 97.8571112% 
epoch : 1665, 	 loss : 24.27680653333664 	 accuracy : 97.8682085% 
epoch : 1670, 	 loss : 24.21712815761566 	 accuracy : 97.8781960% 
epoch : 1675, 	 loss : 24.27406221628189 	 accuracy : 97.8582209% 
epoch : 1680, 	 loss : 24.263372629880905 	 accuracy : 97.8526722% 
epoch : 1685, 	 loss : 24.247834607958794 	 accuracy : 97.8548917% 
epoch : 1690, 	 loss : 24.24503481388092 	 accuracy : 97.8804155% 
epoch : 1695, 	 loss : 24.201651871204376 	 accuracy : 97.8859641% 
epoch : 1700, 	 loss : 24.246980458498 	 accuracy : 97.8915128% 
epoch : 1705, 	 loss : 24.240282654762268 	 accuracy : 97.8759766% 
epoch : 1710, 	 loss : 24.232845723628998 	 accuracy : 97.9037198% 
epoch : 1715, 	 loss : 24.215700209140778 	 accuracy : 97.8781960% 
epoch : 1720, 	 loss : 24.229520589113235 	 accuracy : 97.9081587% 
epoch : 1725, 	 loss : 24.192721843719482 	 accuracy : 97.8970614% 
epoch : 1730, 	 loss : 24.230943858623505 	 accuracy : 97.8859641% 
epoch : 1735, 	 loss : 24.230602383613586 	 accuracy : 97.9081587% 
epoch : 1740, 	 loss : 24.198788821697235 	 accuracy : 97.9170366% 
epoch : 1745, 	 loss : 24.214709132909775 	 accuracy : 97.9125977% 
epoch : 1750, 	 loss : 24.19657662510872 	 accuracy : 97.9114879% 
epoch : 1755, 	 loss : 24.228298470377922 	 accuracy : 97.8915128% 
epoch : 1760, 	 loss : 24.167723760008812 	 accuracy : 97.9225852% 
epoch : 1765, 	 loss : 24.167812079191208 	 accuracy : 97.9458896% 
epoch : 1770, 	 loss : 24.201024174690247 	 accuracy : 97.9181463% 
epoch : 1775, 	 loss : 24.170308887958527 	 accuracy : 97.9592063% 
epoch : 1780, 	 loss : 24.192311584949493 	 accuracy : 97.9414506% 
epoch : 1785, 	 loss : 24.140708580613136 	 accuracy : 97.9580966% 
epoch : 1790, 	 loss : 24.208222195506096 	 accuracy : 97.9580966% 
epoch : 1795, 	 loss : 24.193284258246422 	 accuracy : 97.9592063% 
epoch : 1800, 	 loss : 24.226106882095337 	 accuracy : 97.9303533% 
