{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_0', 'seed': 2022, 'lr': 0.0005, 'gpu': '0', 'ep': 500, 'lambda_': 0.0, 'epsilon': 0.2}
epoch : 0	 logprob : -54.4	 J : -59.51	 LOS : 217.8	 TPP(won) : 33488.79
epoch : 1	 logprob : -108.69	 J : -133.4	 LOS : 358.6	 TPP(won) : 56104.66
epoch : 2	 logprob : -113.04	 J : -183.89	 LOS : 329.4	 TPP(won) : 59442.98
epoch : 3	 logprob : -34.4	 J : -92.06	 LOS : 175.6	 TPP(won) : 20816.58
epoch : 4	 logprob : -72.39	 J : -131.0	 LOS : 213.6	 TPP(won) : 49509.01
epoch : 5	 logprob : -181.76	 J : -225.92	 LOS : 439.8	 TPP(won) : 87250.45
epoch : 6	 logprob : -206.5	 J : -261.37	 LOS : 476.8	 TPP(won) : 125524.82
epoch : 7	 logprob : -101.2	 J : -255.14	 LOS : 302.4	 TPP(won) : 35767.89
epoch : 8	 logprob : -152.52	 J : -341.45	 LOS : 358.6	 TPP(won) : 47437.66
epoch : 9	 logprob : -130.16	 J : -233.72	 LOS : 336.0	 TPP(won) : 77127.46
epoch : 10	 logprob : -282.11	 J : -240.07	 LOS : 607.8	 TPP(won) : 198362.29
epoch : 11	 logprob : -274.57	 J : -239.07	 LOS : 620.4	 TPP(won) : 194483.35
epoch : 12	 logprob : -230.8	 J : -334.27	 LOS : 528.8	 TPP(won) : 143328.33
epoch : 13	 logprob : -290.44	 J : -342.58	 LOS : 597.0	 TPP(won) : 187522.97
epoch : 14	 logprob : -293.46	 J : -338.77	 LOS : 641.4	 TPP(won) : 206395.98
epoch : 15	 logprob : -245.22	 J : -333.12	 LOS : 501.4	 TPP(won) : 168295.75
epoch : 16	 logprob : -219.84	 J : -345.29	 LOS : 516.8	 TPP(won) : 136126.46
epoch : 17	 logprob : -332.01	 J : -290.72	 LOS : 673.0	 TPP(won) : 272752.5
epoch : 18	 logprob : -231.12	 J : -334.48	 LOS : 523.6	 TPP(won) : 154004.46
epoch : 19	 logprob : -202.22	 J : -316.32	 LOS : 482.0	 TPP(won) : 136992.82
epoch : 20	 logprob : -273.6	 J : -293.87	 LOS : 616.2	 TPP(won) : 223650.08
epoch : 21	 logprob : -219.59	 J : -361.14	 LOS : 474.8	 TPP(won) : 126411.51
epoch : 22	 logprob : -270.83	 J : -324.42	 LOS : 598.4	 TPP(won) : 197616.45
epoch : 23	 logprob : -314.97	 J : -290.79	 LOS : 670.4	 TPP(won) : 260069.11
epoch : 24	 logprob : -251.9	 J : -334.64	 LOS : 567.2	 TPP(won) : 173427.89
epoch : 25	 logprob : -288.23	 J : -336.61	 LOS : 652.0	 TPP(won) : 203633.79
epoch : 26	 logprob : -304.67	 J : -297.32	 LOS : 670.0	 TPP(won) : 246732.41
epoch : 27	 logprob : -286.23	 J : -341.84	 LOS : 634.0	 TPP(won) : 198331.56
epoch : 28	 logprob : -268.06	 J : -310.93	 LOS : 584.6	 TPP(won) : 205261.14
epoch : 29	 logprob : -295.71	 J : -362.78	 LOS : 629.0	 TPP(won) : 191979.1
epoch : 30	 logprob : -368.67	 J : -310.37	 LOS : 759.6	 TPP(won) : 282122.08
