{'RPATH': 'test1', 'UPATH': 'example2', 'save': 'example', 'seed': 5357, 'lr': 0.0005, 'gpu': '2', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.3}
epoch : 63	 logprob : -167.01	 J : 6.63	 LOS : 358.0	 TPP(won) : 165309.77
epoch : 64	 logprob : -192.96	 J : 15.9	 LOS : 443.8	 TPP(won) : 197114.45
epoch : 65	 logprob : -184.43	 J : 25.71	 LOS : 393.6	 TPP(won) : 215321.91
epoch : 66	 logprob : -165.15	 J : 3.87	 LOS : 377.4	 TPP(won) : 169726.4
epoch : 67	 logprob : -163.5	 J : 11.36	 LOS : 346.0	 TPP(won) : 166345.62
epoch : 68	 logprob : -156.47	 J : 24.27	 LOS : 338.2	 TPP(won) : 186524.07
epoch : 69	 logprob : -166.25	 J : 18.71	 LOS : 373.8	 TPP(won) : 200814.13
epoch : 70	 logprob : -155.28	 J : 7.22	 LOS : 359.8	 TPP(won) : 159415.94
epoch : 71	 logprob : -149.09	 J : 21.76	 LOS : 328.6	 TPP(won) : 179627.12
epoch : 72	 logprob : -151.44	 J : 12.39	 LOS : 344.6	 TPP(won) : 167627.41
epoch : 73	 logprob : -138.59	 J : 12.19	 LOS : 322.0	 TPP(won) : 147714.98
epoch : 74	 logprob : -139.98	 J : 14.4	 LOS : 331.8	 TPP(won) : 157732.62
epoch : 75	 logprob : -116.28	 J : 21.78	 LOS : 259.4	 TPP(won) : 150446.39
epoch : 76	 logprob : -102.28	 J : 16.56	 LOS : 217.6	 TPP(won) : 114102.83
epoch : 77	 logprob : -112.36	 J : 1.44	 LOS : 319.2	 TPP(won) : 136987.1
epoch : 78	 logprob : -104.45	 J : 3.11	 LOS : 279.2	 TPP(won) : 122193.3
epoch : 79	 logprob : -89.51	 J : 12.79	 LOS : 214.6	 TPP(won) : 112823.4
epoch : 80	 logprob : -103.04	 J : 4.66	 LOS : 264.2	 TPP(won) : 112549.9
epoch : 81	 logprob : -92.72	 J : 9.14	 LOS : 254.2	 TPP(won) : 118822.44
epoch : 82	 logprob : -101.6	 J : 7.78	 LOS : 273.6	 TPP(won) : 129741.5
epoch : 83	 logprob : -88.68	 J : 2.17	 LOS : 257.6	 TPP(won) : 107175.08
epoch : 84	 logprob : -76.23	 J : 1.3	 LOS : 240.0	 TPP(won) : 102212.4
epoch : 85	 logprob : -88.85	 J : 6.32	 LOS : 237.2	 TPP(won) : 108720.21
epoch : 86	 logprob : -91.11	 J : -2.43	 LOS : 266.0	 TPP(won) : 101780.58
epoch : 87	 logprob : -81.4	 J : 6.05	 LOS : 233.0	 TPP(won) : 108741.04
epoch : 88	 logprob : -84.49	 J : 0.39	 LOS : 248.4	 TPP(won) : 104556.47
epoch : 89	 logprob : -77.24	 J : 6.73	 LOS : 219.8	 TPP(won) : 104460.41
epoch : 90	 logprob : -74.42	 J : 1.3	 LOS : 236.0	 TPP(won) : 94491.64
epoch : 91	 logprob : -75.32	 J : 5.73	 LOS : 229.8	 TPP(won) : 108843.96
epoch : 92	 logprob : -90.02	 J : -9.49	 LOS : 319.4	 TPP(won) : 105955.21
epoch : 93	 logprob : -66.62	 J : -2.3	 LOS : 194.4	 TPP(won) : 65335.84
epoch : 94	 logprob : -73.98	 J : 8.87	 LOS : 204.0	 TPP(won) : 102786.58
epoch : 95	 logprob : -69.44	 J : -5.49	 LOS : 241.6	 TPP(won) : 82145.51
epoch : 96	 logprob : -78.54	 J : 0.81	 LOS : 233.8	 TPP(won) : 97357.26
epoch : 97	 logprob : -69.62	 J : -0.41	 LOS : 215.8	 TPP(won) : 81705.49
epoch : 98	 logprob : -70.48	 J : 3.81	 LOS : 206.2	 TPP(won) : 92318.8
epoch : 99	 logprob : -73.53	 J : -6.21	 LOS : 248.6	 TPP(won) : 85980.03
epoch : 100	 logprob : -68.73	 J : 1.88	 LOS : 230.2	 TPP(won) : 94444.92
epoch : 101	 logprob : -74.55	 J : -3.89	 LOS : 257.8	 TPP(won) : 94601.41
epoch : 102	 logprob : -66.09	 J : 4.5	 LOS : 200.6	 TPP(won) : 91572.08
epoch : 103	 logprob : -67.27	 J : -2.92	 LOS : 211.4	 TPP(won) : 72932.95
epoch : 104	 logprob : -74.06	 J : 1.04	 LOS : 226.0	 TPP(won) : 94429.71
epoch : 105	 logprob : -67.43	 J : -0.3	 LOS : 202.0	 TPP(won) : 77613.06
epoch : 106	 logprob : -63.26	 J : -4.54	 LOS : 185.4	 TPP(won) : 57384.34
epoch : 107	 logprob : -65.28	 J : -0.44	 LOS : 215.4	 TPP(won) : 85159.84
epoch : 108	 logprob : -64.38	 J : -6.09	 LOS : 238.4	 TPP(won) : 79059.02
epoch : 109	 logprob : -66.07	 J : -5.33	 LOS : 219.6	 TPP(won) : 75816.19
epoch : 110	 logprob : -68.77	 J : -3.49	 LOS : 244.0	 TPP(won) : 88767.77
epoch : 111	 logprob : -71.36	 J : 2.55	 LOS : 222.2	 TPP(won) : 97322.92
epoch : 112	 logprob : -72.85	 J : -7.8	 LOS : 246.8	 TPP(won) : 80961.35
epoch : 113	 logprob : -71.07	 J : 5.38	 LOS : 205.0	 TPP(won) : 92486.64
epoch : 114	 logprob : -75.09	 J : -5.95	 LOS : 230.4	 TPP(won) : 79779.51
epoch : 115	 logprob : -70.82	 J : 7.39	 LOS : 195.6	 TPP(won) : 96012.89
epoch : 116	 logprob : -63.19	 J : 2.3	 LOS : 220.2	 TPP(won) : 92407.18
epoch : 117	 logprob : -63.32	 J : 1.8	 LOS : 196.0	 TPP(won) : 82031.84
epoch : 118	 logprob : -72.71	 J : 7.58	 LOS : 237.6	 TPP(won) : 112527.13
epoch : 119	 logprob : -65.92	 J : -3.26	 LOS : 234.8	 TPP(won) : 86614.21
epoch : 120	 logprob : -80.17	 J : -0.69	 LOS : 273.6	 TPP(won) : 106908.92
epoch : 121	 logprob : -74.12	 J : 4.59	 LOS : 223.6	 TPP(won) : 101871.33
epoch : 122	 logprob : -56.32	 J : 1.5	 LOS : 182.2	 TPP(won) : 65324.92
epoch : 123	 logprob : -71.78	 J : 5.42	 LOS : 220.4	 TPP(won) : 101549.01
epoch : 124	 logprob : -65.52	 J : -10.89	 LOS : 220.4	 TPP(won) : 60987.85
epoch : 125	 logprob : -60.75	 J : -7.56	 LOS : 210.6	 TPP(won) : 64238.15
epoch : 126	 logprob : -68.24	 J : -5.23	 LOS : 239.2	 TPP(won) : 81427.15
epoch : 127	 logprob : -74.52	 J : 2.97	 LOS : 235.8	 TPP(won) : 103961.7
epoch : 128	 logprob : -79.58	 J : -1.84	 LOS : 252.8	 TPP(won) : 95882.17
epoch : 129	 logprob : -67.38	 J : -1.74	 LOS : 232.8	 TPP(won) : 84713.0
epoch : 130	 logprob : -65.81	 J : 3.67	 LOS : 185.0	 TPP(won) : 79928.94
epoch : 131	 logprob : -77.94	 J : 9.36	 LOS : 237.8	 TPP(won) : 116729.8
epoch : 132	 logprob : -79.1	 J : 7.05	 LOS : 246.0	 TPP(won) : 119999.9
epoch : 133	 logprob : -78.63	 J : 2.26	 LOS : 247.0	 TPP(won) : 107202.03
epoch : 134	 logprob : -61.21	 J : 6.15	 LOS : 194.6	 TPP(won) : 95253.19
epoch : 135	 logprob : -66.43	 J : 5.49	 LOS : 203.8	 TPP(won) : 96444.95
epoch : 136	 logprob : -75.5	 J : 10.1	 LOS : 229.2	 TPP(won) : 112730.52
epoch : 137	 logprob : -71.96	 J : 0.48	 LOS : 233.8	 TPP(won) : 97684.06
epoch : 138	 logprob : -71.38	 J : -0.46	 LOS : 218.4	 TPP(won) : 85543.72
epoch : 139	 logprob : -60.63	 J : 0.78	 LOS : 203.6	 TPP(won) : 82856.54
epoch : 140	 logprob : -67.8	 J : 6.16	 LOS : 212.2	 TPP(won) : 101460.36
epoch : 141	 logprob : -58.01	 J : 11.71	 LOS : 162.6	 TPP(won) : 91939.74
epoch : 142	 logprob : -58.7	 J : 5.74	 LOS : 186.2	 TPP(won) : 86437.68
epoch : 143	 logprob : -60.25	 J : 3.8	 LOS : 199.2	 TPP(won) : 86955.71
epoch : 144	 logprob : -60.88	 J : 5.28	 LOS : 187.6	 TPP(won) : 86770.15
epoch : 145	 logprob : -56.99	 J : 4.95	 LOS : 208.6	 TPP(won) : 97677.91
epoch : 146	 logprob : -61.64	 J : 5.8	 LOS : 224.2	 TPP(won) : 99179.49
epoch : 147	 logprob : -50.64	 J : 0.6	 LOS : 186.4	 TPP(won) : 71899.21
epoch : 148	 logprob : -62.14	 J : -1.4	 LOS : 252.8	 TPP(won) : 97206.97
epoch : 149	 logprob : -50.59	 J : 4.28	 LOS : 190.4	 TPP(won) : 88601.78
epoch : 150	 logprob : -59.18	 J : 3.48	 LOS : 208.8	 TPP(won) : 92024.81
epoch : 151	 logprob : -49.17	 J : 4.24	 LOS : 180.0	 TPP(won) : 80455.0
epoch : 152	 logprob : -49.29	 J : 6.67	 LOS : 178.0	 TPP(won) : 87881.88
epoch : 153	 logprob : -44.69	 J : -3.45	 LOS : 184.8	 TPP(won) : 61962.63
epoch : 154	 logprob : -46.76	 J : 1.47	 LOS : 176.4	 TPP(won) : 73518.2
epoch : 155	 logprob : -51.39	 J : -3.44	 LOS : 221.6	 TPP(won) : 78488.87
epoch : 156	 logprob : -51.37	 J : 2.65	 LOS : 196.8	 TPP(won) : 85599.42
epoch : 157	 logprob : -51.42	 J : 4.79	 LOS : 203.4	 TPP(won) : 97653.09
epoch : 158	 logprob : -49.0	 J : 1.24	 LOS : 203.6	 TPP(won) : 80782.05
epoch : 159	 logprob : -46.79	 J : 7.38	 LOS : 182.4	 TPP(won) : 96170.36
epoch : 160	 logprob : -42.95	 J : 0.16	 LOS : 182.2	 TPP(won) : 70590.51
epoch : 161	 logprob : -44.64	 J : -1.34	 LOS : 206.8	 TPP(won) : 71471.07
epoch : 162	 logprob : -40.78	 J : 2.93	 LOS : 154.0	 TPP(won) : 65070.84
epoch : 163	 logprob : -42.05	 J : 1.32	 LOS : 192.2	 TPP(won) : 77038.27
epoch : 164	 logprob : -45.11	 J : 4.0	 LOS : 191.6	 TPP(won) : 89894.28
epoch : 165	 logprob : -42.95	 J : 9.61	 LOS : 160.4	 TPP(won) : 88770.42
epoch : 166	 logprob : -45.72	 J : 4.23	 LOS : 201.8	 TPP(won) : 94864.14
epoch : 167	 logprob : -36.54	 J : 4.96	 LOS : 159.6	 TPP(won) : 74259.13
epoch : 168	 logprob : -37.85	 J : 9.38	 LOS : 153.6	 TPP(won) : 88826.95
epoch : 169	 logprob : -41.16	 J : 2.72	 LOS : 190.4	 TPP(won) : 82518.37
epoch : 170	 logprob : -35.06	 J : 9.2	 LOS : 137.0	 TPP(won) : 82681.78
epoch : 171	 logprob : -38.3	 J : 4.38	 LOS : 166.6	 TPP(won) : 77519.47
epoch : 172	 logprob : -35.48	 J : 8.19	 LOS : 147.8	 TPP(won) : 86010.7
epoch : 173	 logprob : -34.78	 J : 7.19	 LOS : 162.6	 TPP(won) : 91499.49
epoch : 174	 logprob : -35.54	 J : 8.95	 LOS : 156.8	 TPP(won) : 98824.61
epoch : 175	 logprob : -35.81	 J : 3.91	 LOS : 180.8	 TPP(won) : 86109.36
epoch : 176	 logprob : -34.98	 J : 8.9	 LOS : 157.2	 TPP(won) : 96780.94
epoch : 177	 logprob : -32.63	 J : 9.73	 LOS : 144.6	 TPP(won) : 94328.59
epoch : 178	 logprob : -31.19	 J : 5.71	 LOS : 169.8	 TPP(won) : 90127.76
epoch : 179	 logprob : -27.87	 J : 7.25	 LOS : 137.8	 TPP(won) : 80071.71
epoch : 180	 logprob : -31.67	 J : 5.23	 LOS : 182.4	 TPP(won) : 95820.96
epoch : 181	 logprob : -32.74	 J : 3.63	 LOS : 204.4	 TPP(won) : 99572.19
epoch : 182	 logprob : -28.47	 J : 3.61	 LOS : 187.2	 TPP(won) : 94612.13
epoch : 183	 logprob : -28.81	 J : 4.46	 LOS : 172.8	 TPP(won) : 89396.56
epoch : 184	 logprob : -28.47	 J : 2.61	 LOS : 192.2	 TPP(won) : 89803.77
epoch : 185	 logprob : -28.06	 J : 5.2	 LOS : 177.4	 TPP(won) : 93460.21
epoch : 186	 logprob : -30.65	 J : 3.11	 LOS : 215.2	 TPP(won) : 100428.37
epoch : 187	 logprob : -26.01	 J : 4.51	 LOS : 173.2	 TPP(won) : 89301.29
epoch : 188	 logprob : -28.5	 J : 4.52	 LOS : 200.4	 TPP(won) : 98993.38
epoch : 189	 logprob : -23.75	 J : 4.35	 LOS : 165.6	 TPP(won) : 89805.93
epoch : 190	 logprob : -25.25	 J : 5.03	 LOS : 176.4	 TPP(won) : 97036.79
epoch : 191	 logprob : -26.05	 J : 5.97	 LOS : 181.6	 TPP(won) : 107004.14
epoch : 192	 logprob : -23.28	 J : 2.86	 LOS : 191.6	 TPP(won) : 94271.25
epoch : 193	 logprob : -24.58	 J : 1.44	 LOS : 222.6	 TPP(won) : 102504.17
epoch : 194	 logprob : -22.65	 J : 2.65	 LOS : 192.2	 TPP(won) : 95512.28
epoch : 195	 logprob : -21.91	 J : 3.22	 LOS : 192.4	 TPP(won) : 101156.12
epoch : 196	 logprob : -20.56	 J : 1.83	 LOS : 196.2	 TPP(won) : 90912.7
epoch : 197	 logprob : -18.66	 J : 2.39	 LOS : 181.2	 TPP(won) : 89763.83
epoch : 198	 logprob : -18.85	 J : 2.3	 LOS : 186.8	 TPP(won) : 90317.8
epoch : 199	 logprob : -20.75	 J : 2.71	 LOS : 192.4	 TPP(won) : 98546.6
epoch : 200	 logprob : -18.88	 J : 3.16	 LOS : 185.2	 TPP(won) : 98954.09
epoch : 201	 logprob : -17.11	 J : 3.82	 LOS : 158.8	 TPP(won) : 91306.58
epoch : 202	 logprob : -18.14	 J : 1.78	 LOS : 202.4	 TPP(won) : 96249.32
epoch : 203	 logprob : -16.63	 J : 3.08	 LOS : 175.2	 TPP(won) : 97380.96
epoch : 204	 logprob : -15.23	 J : 2.82	 LOS : 167.4	 TPP(won) : 88818.33
epoch : 205	 logprob : -16.02	 J : 2.6	 LOS : 182.2	 TPP(won) : 96038.85
epoch : 206	 logprob : -15.14	 J : 3.3	 LOS : 170.4	 TPP(won) : 97883.9
epoch : 207	 logprob : -14.54	 J : 2.91	 LOS : 172.6	 TPP(won) : 96950.21
epoch : 208	 logprob : -14.39	 J : 3.17	 LOS : 176.2	 TPP(won) : 102765.45
epoch : 209	 logprob : -13.01	 J : 3.39	 LOS : 145.8	 TPP(won) : 88684.67
epoch : 210	 logprob : -13.57	 J : 3.61	 LOS : 154.0	 TPP(won) : 94715.24
epoch : 211	 logprob : -12.27	 J : 1.97	 LOS : 176.4	 TPP(won) : 91585.79
epoch : 212	 logprob : -12.45	 J : 2.45	 LOS : 169.6	 TPP(won) : 93882.0
epoch : 213	 logprob : -11.2	 J : 2.23	 LOS : 160.6	 TPP(won) : 86247.55
epoch : 214	 logprob : -11.4	 J : 1.86	 LOS : 174.6	 TPP(won) : 91176.79
epoch : 215	 logprob : -10.77	 J : 2.59	 LOS : 157.0	 TPP(won) : 93399.63
epoch : 216	 logprob : -10.31	 J : 2.12	 LOS : 156.4	 TPP(won) : 90043.72
epoch : 217	 logprob : -10.53	 J : 1.75	 LOS : 178.4	 TPP(won) : 93882.0
epoch : 218	 logprob : -9.6	 J : 1.91	 LOS : 157.0	 TPP(won) : 87078.16
epoch : 219	 logprob : -9.04	 J : 2.1	 LOS : 150.0	 TPP(won) : 83777.6
